timestamp,open,high,low,close,volume,adjusted_close
2020-01-02,145.87,146.02,145.08,145.97,5634469,145.97
2020-01-03,143.5,145.37,143.0,144.28,5753422,144.28
2020-01-06,144.0,144.2,142.85,144.1,7731435,144.1
2020-01-07,144.01,145.45,141.38,144.98,7389034,144.98
2020-01-08,144.87,145.98,143.7,144.96,6605775,144.96
2020-01-09,145.76,146.03,144.99,145.39,6112783,145.39
2020-01-10,145.75,146.18,144.9,145.06,5042668,145.06
2020-01-13,145.48,145.79,144.72,145.7,4593819,145.7
2020-01-14,145.05,146.61,144.73,146.52,7038779,146.52
2020-01-15,146.4,147.4,146.24,147.01,4960460,147.01
2020-01-16,147.42,148.84,146.2,148.2,6476379,148.2
2020-01-17,148.41,149.41,147.93,149.17,9083838,149.17
2020-01-21,148.58,150.17,148.5,149.27,9543905,149.27
2020-01-22,146.7,149.18,146.0,148.25,10305334,148.25
2020-01-23,148.04,148.77,146.76,148.53,8671988,148.53
2020-01-24,148.58,148.95,147.93,148.32,9051933,148.32
2020-01-27,147.52,149.46,147.0,148.75,7587103,148.75
2020-01-28,148.46,150.57,148.15,149.5,7336636,149.5
2020-01-29,149.45,151.19,149.13,150.54,6288760,150.54
2020-01-30,150.03,150.51,149.05,150.36,6470584,150.36
2020-01-31,149.75,150.0,148.64,148.87,8651930,148.87
2020-02-03,149.42,150.49,149.24,150.17,5765413,150.17
2020-02-04,151.49,152.75,151.2,151.6,6541584,151.6
2020-02-05,151.72,154.02,151.31,153.99,5980013,153.99
2020-02-06,154.25,154.5,152.74,153.53,6201257,153.53
2020-02-07,153.34,153.46,151.55,151.89,5700295,151.89
2020-02-10,151.68,151.91,150.89,151.86,4836002,151.86
2020-02-11,152.29,152.38,151.54,151.99,3715389,151.99
2020-02-12,151.87,152.15,150.92,151.09,5167069,151.09
2020-02-13,150.16,151.04,149.88,150.09,5480225,150.09
2020-02-14,150.56,150.64,149.15,150.13,5716549,150.13
2020-02-18,150.47,150.74,149.06,149.14,7231010,149.14
2020-02-19,149.21,149.76,148.58,148.94,6115220,148.94
2020-02-20,148.61,149.38,147.4,148.37,7465047,148.37
2020-02-21,148.09,150.24,147.54,149.93,7776835,149.93
2020-02-24,146.5,149.0,145.25,145.91,10589203,145.91
2020-02-25,145.99,146.75,143.83,144.65,10529373,144.65
2020-02-26,145.35,146.22,143.59,143.68,10094401,143.68
