timestamp,open,high,low,close,volume,adjusted_close
2020-10-14,61.35,61.53,60.85,60.96,6652230,60.96
2020-10-15,60.27,60.74,60.08,60.52,6251805,60.52
2020-10-16,60.71,61.11,60.26,60.29,6070963,60.29
2020-10-19,60.39,60.75,59.39,59.62,8311250,59.62
2020-10-20,59.92,60.33,59.63,59.75,9241256,59.75
2020-10-21,59.34,60.12,59.22,59.67,10114900,59.67
2020-10-22,59.44,59.87,58.69,59.69,11900906,59.69
2020-10-23,59.9,60.16,59.71,59.9,9739300,59.9
2020-10-26,58.1,58.48,56.53,57.49,18876908,57.49
2020-10-27,57.64,57.98,57.02,57.08,10806520,57.08
2020-10-28,56.27,56.6,55.53,55.59,13910925,55.59
2020-10-29,55.2,56.76,55.14,56.02,13573708,56.02
2020-10-30,55.75,56.64,55.45,56.11,12603416,56.11
2020-11-02,56.44,57.47,56.12,56.45,11413200,56.45
2020-11-03,57.0,57.5,56.57,56.8,8911200,56.8
2020-11-04,58.0,58.09,56.35,56.49,12054900,56.49
2020-11-05,57.46,57.65,56.42,56.66,9017100,56.66
2020-11-06,56.77,56.98,56.15,56.8,7510696,56.8
2020-11-09,58.19,59.08,56.77,56.84,11486600,56.84
2020-11-10,56.91,57.24,56.2,56.67,9016029,56.67
2020-11-11,57.06,57.63,56.8,57.2,7724436,57.2
2020-11-12,57.26,57.49,56.1,56.45,7325363,56.45
2020-11-13,56.88,57.09,56.55,56.91,5871756,56.91
2020-11-16,57.02,57.61,56.88,57.15,6309200,57.15
2020-11-17,57.0,57.39,56.81,57.12,5569888,57.12
2020-11-18,57.12,57.29,56.24,56.25,8998800,56.25
2020-11-19,56.09,56.48,55.56,56.45,9643358,56.45
2020-11-20,56.36,56.44,55.68,55.7,8397531,55.7
2020-11-23,55.85,56.57,55.77,56.08,8236572,56.08
2020-11-24,56.6,57.9,56.36,57.57,10427806,57.57
2020-11-25,57.72,57.76,57.26,57.41,6848900,57.41
2020-11-27,57.4,57.87,57.15,57.76,5627039,57.76
2020-11-30,57.61,58.2,57.2,57.72,26676923,57.72
2020-12-01,58.2,59.28,58.01,58.74,11856022,58.74
2020-12-02,58.29,59.27,58.14,59.08,9330428,59.08
2020-12-03,59.22,59.98,59.06,59.27,9783917,59.27
