timestamp,open,high,low,close,volume,adjusted_close
2020-01-02,57.22,57.75,56.72,57.75,499400,57.75
2020-01-03,56.9,57.27,56.45,57.17,586300,57.17
2020-01-06,56.46,56.83,55.86,56.82,1024614,56.82
2020-01-07,56.72,57.06,56.32,56.55,476300,56.55
2020-01-08,56.75,57.68,56.61,57.41,731121,57.41
2020-01-09,57.8,57.91,57.12,57.59,702914,57.59
2020-01-10,57.73,57.73,57.01,57.1,687800,57.1
2020-01-13,57.39,57.63,56.76,57.49,570500,57.49
2020-01-14,57.49,58.13,57.37,57.56,770524,57.56
2020-01-15,57.05,57.41,56.78,57.02,594900,57.02
2020-01-16,57.44,57.76,57.28,57.6,585900,57.6
2020-01-17,57.93,58.3,57.69,58.03,526800,58.03
2020-01-21,57.53,58.0,57.05,57.13,1063900,57.13
2020-01-22,57.27,57.51,56.9,57.25,698337,57.25
2020-01-23,57.03,57.75,56.36,57.64,806400,57.64
2020-01-24,57.83,58.94,56.15,57.49,1440742,57.49
2020-01-27,56.18,56.86,55.75,56.48,817800,56.48
2020-01-28,56.91,57.64,56.63,56.97,573300,56.97
2020-01-29,57.07,57.39,56.24,56.36,539328,56.36
2020-01-30,55.76,56.7,55.49,56.7,403246,56.7
2020-01-31,55.99,56.42,55.02,55.23,598324,55.23
2020-02-03,55.64,56.41,55.48,55.97,550200,55.97
2020-02-04,56.96,57.33,56.59,57.11,499700,57.11
2020-02-05,57.82,58.36,57.66,58.19,471109,58.19
2020-02-06,58.57,58.81,57.4,57.42,593611,57.42
2020-02-07,56.94,57.4,56.52,56.62,278443,56.62
2020-02-10,56.24,56.45,55.99,56.31,470419,56.31
2020-02-11,56.4,57.54,56.38,57.04,389513,57.04
2020-02-12,57.68,58.18,57.42,57.94,415409,57.94
2020-02-13,57.4,58.28,57.4,58.26,279300,58.26
2020-02-14,58.18,58.58,57.92,58.19,359838,58.19
2020-02-18,57.9,58.25,56.84,57.12,315300,57.12
2020-02-19,57.53,57.88,57.33,57.5,379219,57.5
2020-02-20,57.32,58.29,57.32,58.15,291600,58.15
2020-02-21,57.64,58.3,55.86,55.92,789436,55.92
2020-02-24,53.8,54.25,52.96,53.34,908241,53.34
2020-02-25,53.6,53.6,50.77,50.98,759929,50.98
2020-02-26,51.53,51.93,50.11,50.17,593800,50.17
2020-02-27,49.06,50.39,47.87,47.87,1230338,47.87
2020-02-28,46.22,47.31,44.88,46.04,1690800,46.04
2020-03-02,46.21,47.57,45.61,47.49,1011200,47.49
2020-03-03,47.22,47.73,44.39,44.79,1143500,44.79
2020-03-04,45.42,45.45,43.6,44.49,1106344,44.49
2020-03-05,42.97,44.0,42.23,42.73,1132242,42.73
2020-03-06,40.67,41.87,39.2,39.61,1294500,39.61
2020-03-09,35.56,35.71,31.08,32.75,1959800,32.75
2020-03-10,35.5,36.85,33.46,35.04,2560119,35.04
2020-03-11,33.7,33.91,31.96,32.36,2067770,32.36
2020-03-12,29.58,31.43,27.18,29.3,2954100,29.3
2020-03-13,32.23,32.23,29.42,31.87,1751211,31.87
2020-03-16,27.01,28.0,24.68,24.77,2427300,24.77
2020-03-17,25.33,26.21,23.51,25.77,2315634,25.77
2020-03-18,24.11,26.51,21.24,22.16,2038812,22.16
2020-03-19,21.98,28.86,20.9,27.4,2469255,27.4
2020-03-20,27.89,28.62,25.44,26.33,2177835,26.33
2020-03-23,25.65,26.39,24.0,25.79,1676104,25.79
2020-03-24,27.67,28.9,26.9,28.48,1292500,28.48
2020-03-25,29.35,29.99,27.39,28.93,1538337,28.93
2020-03-26,29.2,32.77,28.78,32.53,2057434,32.53
2020-03-27,30.75,31.94,30.43,30.71,1517609,30.71
2020-03-30,30.33,31.13,28.67,30.58,1389700,30.58
2020-03-31,30.29,31.62,29.79,30.61,1492200,30.61
2020-04-01,28.99,29.45,28.39,29.05,857833,29.05
