ticker,status,error,rows_loaded,rows_after_cleaning,adjusted_ohlc_applied,total_trades,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,calmar_ratio,profit_factor,expectancy_per_trade_R,win_rate_pct,ambiguous_exits_pct,benchmark_cagr_pct,benchmark_max_drawdown_pct,benchmark_sharpe,benchmark_calmar_ratio,falsifier_pass,falsifier_failure_reasons,signal_count,rows_reaching_min_score,signal_rate_pct,top_bottlenecks
SPY,OK,,1258,1258,True,2,106028.99,6.03,1.18,0.0,0.633,589.806,0.0,2.975,100.0,0.0,14.28,33.72,0.742,0.423,False,INSUFFICIENT_TRADES: total_trades=2 < required=30,5,4,0.47,LOW_SIGNAL_SAMPLE: 4 rows reach min_confluence_score (< 30)
QQQ,OK,,1258,1258,True,3,104948.67,4.95,0.97,1.02,0.509,0.95,5.563,1.645,66.67,0.0,19.57,35.12,0.826,0.557,False,INSUFFICIENT_TRADES: total_trades=3 < required=30,4,3,0.38,LOW_SIGNAL_SAMPLE: 3 rows reach min_confluence_score (< 30)
IWM,OK,,1258,1258,True,5,106980.27,6.98,1.36,1.03,0.576,1.327,4.188,1.382,60.0,0.0,7.31,41.07,0.396,0.178,False,INSUFFICIENT_TRADES: total_trades=5 < required=30,16,10,1.51,LOW_SIGNAL_SAMPLE: 10 rows reach min_confluence_score (< 30)
DIA,OK,,1258,1258,True,6,101038.62,1.04,0.21,2.72,0.106,0.076,1.211,0.196,33.33,0.0,10.16,36.7,0.572,0.277,False,INSUFFICIENT_TRADES: total_trades=6 < required=30; CALMAR_BELOW_BENCHMARK: strategy=0.076 < benchmark=0.277,13,13,1.23,LOW_SIGNAL_SAMPLE: 13 rows reach min_confluence_score (< 30)
XLK,OK,,1258,1258,True,4,108074.12,8.07,1.57,1.02,0.674,1.535,8.243,1.979,75.0,0.0,21.16,33.56,0.827,0.631,False,INSUFFICIENT_TRADES: total_trades=4 < required=30,11,9,1.04,LOW_SIGNAL_SAMPLE: 9 rows reach min_confluence_score (< 30)
XLF,OK,,1258,1258,True,8,103136.22,3.14,0.62,3.46,0.253,0.179,1.55,0.41,37.5,0.0,11.43,42.86,0.543,0.267,False,INSUFFICIENT_TRADES: total_trades=8 < required=30; CALMAR_BELOW_BENCHMARK: strategy=0.179 < benchmark=0.267,13,10,1.23,LOW_SIGNAL_SAMPLE: 10 rows reach min_confluence_score (< 30)
XLE,OK,,1258,1258,True,6,105927.13,5.93,1.16,2.03,0.484,0.572,2.833,0.988,50.0,0.0,12.04,60.6,0.496,0.199,False,INSUFFICIENT_TRADES: total_trades=6 < required=30,11,10,1.04,LOW_SIGNAL_SAMPLE: 10 rows reach min_confluence_score (< 30)
TLT,OK,,1258,1258,True,3,96910.08,-3.09,-0.63,3.09,-0.778,-0.203,0.0,-1.037,0.0,0.0,-6.26,48.35,-0.27,-0.13,False,INSUFFICIENT_TRADES: total_trades=3 < required=30; NEGATIVE_EXPECTANCY: expectancy_per_trade_r=-1.037 <= 0.0; LOW_PROFIT_FACTOR: profit_factor=0.000 < required=1.2; CALMAR_BELOW_BENCHMARK: strategy=-0.203 < benchmark=-0.130,11,5,1.04,LOW_SIGNAL_SAMPLE: 5 rows reach min_confluence_score (< 30)
GLD,OK,,1258,1258,True,13,105181.01,5.18,1.02,4.56,0.312,0.223,1.535,0.415,38.46,0.0,10.99,22.0,0.75,0.499,False,INSUFFICIENT_TRADES: total_trades=13 < required=30; CALMAR_BELOW_BENCHMARK: strategy=0.223 < benchmark=0.499,38,28,3.59,LOW_SIGNAL_SAMPLE: 28 rows reach min_confluence_score (< 30)
